pr_gene_id,A375,A549,BT20,HCT116,HS578T,HT29,LOVO,MCF7,MDAMB231,PC3,RKO,SKBR3,SKMEL28,SW620,SW948,VCAP
55847,0.59319997,1.0515,-0.2083641,-0.06939998,-1.0028,-0.3951,0.6177,0.002735138,-0.77889997,0.65238,-0.8194,0.14145,-0.577,0.003268674,-0.6167723,-1.6575
25803,0.26815,0.1821,-0.2035254,0.58785,0.33075,-0.0877,0.9399,0.6487905,0.41750002,-0.43635622,-1.5547,0.2834,0.5478,0.039430767,-1.3937349,-0.8394
3480,-0.55205,-1.1888,2.5420692,0.021850005,-0.64729995,-0.8333,1.2863,-0.23449671,-0.009599999,-0.6151658,0.4409,0.65295,-1.5275,-0.47145027,-0.1338284,-1.0718
2946,0.44345,-1.4132,-0.2836004,-0.76049995,-0.2042,0.3974,-1.4148,-0.02166149,-0.20255001,-1.0587707,-0.3147,-0.82105,0.3693,0.86896944,-0.62928396,0.4181
9517,-0.7922,-0.1878,-0.21448398,-0.3135,0.93065,-0.4446,0.1262,0.5450351,-0.11585,-1.0049839,0.089,-1.6165,1.3625,-0.19549137,-0.79827625,0.3331
25987,-0.4356,-0.0862,1.1224234,0.17825001,-0.94255,-0.796,0.0299,-0.5665388,-2.08345,-0.6055776,0.7375,-1.1511,1.4294,-0.13470691,0.16323821,0.3821
23670,0.4253,-1.3947,0.46271795,-0.666,-0.73715,-0.5081,0.0893,-0.020037308,-0.17639999,-0.29470626,0.599,-0.28875002,1.1703,-0.45649818,0.50809574,-0.6248
11182,-0.42084998,-0.125,0.6812451,0.20205002,-0.32545,-0.7252,1.4158,0.32016325,1.1976,0.13613234,-0.2292,0.17365,0.3427,1.3684527,-0.17601189,1.1283
2146,0.67395,-0.1367,0.7412819,-0.027600005,0.4332,-0.1785,1.2031,-0.67142045,0.7709,0.08763053,1.0479,-0.1501,0.5819,0.68149763,-0.28220516,0.2506
3385,2.55135,0.4406,0.19476159,-0.5726,-1.06075,-0.2166,0.4002,0.026448864,0.2306,0.4519853,0.658,-0.29925,1.1458,-0.6286505,1.291605,0.6375
5261,-0.08829999,-0.9261,-0.6743181,0.31985,0.30235,-0.753,1.1903,-1.1096989,-0.53065,-0.28994834,-0.9668,-0.33545,-1.801,0.5037173,-0.66060805,-0.6473
10765,-0.61165,-1.5981,0.37117326,0.22765,0.7515,-0.3467,-0.3157,0.19284551,-0.37585002,-0.15406674,-0.4174,-0.56869996,1.5325,0.8634327,-0.6528402,0.0578
25839,-0.803,-0.0693,0.066217095,0.3565,-0.37254998,0.1653,0.2109,-0.7555529,-0.28265,0.4156443,0.1274,-0.2807,1.3373,0.43419224,0.18433094,0.4749
4172,0.105099976,-0.5556,0.7686344,0.20970002,-0.40624997,-0.2873,0.4671,0.63310874,0.63405,-0.63458836,-0.7299,0.61715,0.9914,0.47642815,0.3024103,0.5239
23161,0.2668,0.451,0.624961,0.5708,0.92515,0.2031,-0.4886,0.09659281,0.64595,1.3111362,-2.0617,0.30035,-1.5484,0.60907954,0.022216663,0.9597
10298,0.3837,0.6441,-0.042848654,0.69435,0.28275,-0.3402,-0.2893,-0.38159508,1.411,-0.01562903,1.2572,-0.11074996,0.8838,1.4079077,0.64479566,-0.6325
1802,-0.9589,0.0693,0.20670311,0.22029999,0.4372,0.1712,-0.7673,0.011268675,-0.46455002,0.41075128,1.1611,0.40719998,0.8401,-0.14476871,0.6636075,0.9649
58533,-0.74925,0.686,-0.5067226,0.05860001,-1.07265,0.5909,-0.0353,-0.7182243,-0.94615,1.0277433,0.523,-0.65664995,1.3929,-0.33358967,0.22217008,0.4698
147179,-0.6885,-0.5006,-0.2200894,-0.21259996,1.0514,-1.1874,-0.5247,-0.4605614,-0.006300002,-0.1843107,0.0558,0.9811,1.1886,0.85478795,-0.19562143,-0.2578
29937,-1.32645,0,-0.8601381,-0.025099993,-1.6254001,0.1909,-0.763,-0.8847394,-0.5244,-0.2537847,0.3827,-1.5769,0.1752,-0.3039769,0.2746339,0.509
6184,-0.2229,0.5295,-0.13151495,-0.33725,-0.0013,1.4131,-0.6005,0.72237974,0.4057,0.5785474,0.0007,-0.89165,1.3344,0.45167994,0.34605458,-0.431
9854,-0.59395003,0.4913,-0.26751146,0.33005,1.9518,-0.4,0.6413,0.023770213,0.16455,-0.78006595,0.4356,0.91340005,0.7335,2.0275798,-0.28852832,0.403
2553,1.2355499,-0.4362,-0.65062463,-0.39515,0.018150002,0.0495,0.1527,-0.9671766,0.1012,-0.5468364,1.7512,0.0009,1.6943,0.08370968,0.24680263,0.2192
5440,0.7456,0.9033,-0.49387065,-0.87495005,-0.4072,0.3687,0.17,0.019875228,-0.48305002,-0.035641544,-0.737,-0.3438,-0.5891,1.1961386,0.42402485,-1.2441
54623,-0.34649998,0.8342,1.0797706,0.2046,-0.34289998,0.0703,0.8304,0.443574,-0.39560002,-0.16872358,-0.6192,-0.051850006,1.7613,0.12119452,-1.1447967,0.4288
9533,-0.84024996,0.0327,1.3481306,0.71075,0.89250004,0.0775,-0.5676,-0.4620375,-0.10965,0.31098542,-1.4906,-0.20315,0.335,2.5758924,0.23639786,-0.3683
8607,0.3377,0.3366,-0.18552853,-0.34125,-2.2543502,0.3358,-1.4449,-0.38936734,-0.26335,1.0378655,0.7198,0.24740002,0.9342,0.3611527,1.2477019,-0.1719
207,-0.049849994,-1.3327,0.16583544,0.5152,-0.5514,-2.234,0.4226,-1.1817293,0.98230004,-0.94582397,0.881,0.88025,0.3491,0.86612993,0.1961554,-0.7358
