drug_row	drug_col	cell_line_name	synergy_loewe
2662	3363	HT29	-12.54968968
25262965	24978538	RKO	-8.175757
4091	11977753	HT29	-11.99062473
11683	2708	A549	-11.49747985
25126798	176871	MCF7	3.572242255
644241	387447	PC3	-42.41789928
123631	5453	A549	3.513438927
9703	4114	PC3	-1.164938096
25126798	354624	HT29	-33.86530209
4114	3690	MCF7	-1.375654793
71384	444795	MCF7	-13.43954724
2123	3690	PC3	-5.363955926
42611257	457193	PC3	20.88
9826528	387447	A375	-5.798115234
6450551	444795	A549	3.035824112
2123	3363	PC3	-36.27549384
4211	2187	A549	-0.026341908
3062316	60699	HT29	-3.563033879
6450551	2187	PC3	-2.992670689
11525740	60198	HT29	-27.57803034
2662	4211	PC3	-1.190369518
3385	4114	PC3	1.095637662
216326	2123	PC3	-3.054375602
2662	354624	PC3	-11.84972402
60699	387447	A549	-13.43763047
2708	2478	HT29	-9.155525039
60198	3902	HT29	1.35192222
3062316	208908	MCF7	0.551406274
25126798	444795	A549	0.613280622
457193	644241	A549	10.46
24856436	24964624	VCAP	-0.806166616
3363	176871	PC3	-1.308477596
11683	5394	PC3	0.541700007
208908	3690	PC3	0.017220761
123631	4114	HT29	-5.379646103
25126798	60699	PC3	-20.23844406
2708	176871	MCF7	0.81840285
3902	444795	PC3	-3.323772908
60198	387447	HT29	-2.82211574
6450551	5394	PC3	-1.995096166
216326	5426	SW620	0.844507967
3062316	5426	PC3	8.449695623
42611257	354624	A549	-21.63752803
2123	5426	A549	-8.319856256
5426	60699	PC3	-21.60580378
11626560	2141	PC3	-11.1343358
60198	3062316	HT29	-1.267578522
23725625	9444	MCF7	41.98106
216326	444795	HT29	7.909062234
71384	4114	MCF7	2.512371498
9703	60699	PC3	-34.90313753
2123	9703	HT29	-0.939782096
216326	208908	MCF7	2.30243538
3902	4114	MCF7	-3.989309391
11626560	9703	HT29	-9.102466001
2123	3363	HT29	-22.77455687
5311	176871	MCF7	-13.34447326
3385	2662	A549	-8.081462511
5453	5311	HT29	-9.275097841
42611257	5394	HCT116	-2.381888908
71384	2187	A549	-2.105448853
5311	11960529	RKO	-25.10046571
6450551	57469	A549	-10.6960221
444795	2187	A549	-2.343819964
123631	60198	HT29	-2.129270771
60198	2662	PC3	-1.265429993
2094	3690	MCF7	0.72211228
6450551	3385	PC3	0.405073588
5453	3062316	MCF7	-2.147500818
11525740	2187	MCF7	-5.328788506
2123	387447	HT29	-12.36487325
11626560	11683	A549	-10.00137881
6450551	11525740	A549	-2.153787919
60198	57469	PC3	1.127470346
11626560	123631	A549	7.914386534
71384	3385	PC3	3.460916434
46215815	9884685	SW620	15.0
11626560	457193	HT29	10.08
5394	208908	VCAP	-8.382146446
444795	5426	PC3	0.335950919
6450551	60198	PC3	-2.018574653
387447	11977753	RKO	-0.452792374
5453	5311	A549	-1.093490954
123631	9703	MCF7	-3.64443097
3363	60699	A549	-1.75659668
5453	5394	A549	-21.32410826
444795	5394	HT29	2.670170052
6450551	2123	A549	-10.85541358
2662	3690	PC3	-1.541678419
5453	2187	A549	-4.644506645
3062316	176871	PC3	-2.472724443
11525740	5394	A549	-6.84187758
25126798	2478	PC3	-5.392233642
6450551	123631	MCF7	9.502251401
6450551	11626560	PC3	-2.772133616
25126798	354624	PC3	-7.120608184
71384	60699	A549	2.618142538
123631	2123	MCF7	-14.42912355
6450551	9703	HT29	-4.604659381
2662	5453	PC3	-4.751376775
25126798	123631	HS578T	1.754180556
644241	57469	PC3	3.018216593
11626560	4211	A549	-13.48117708
387447	11977753	A375	4.735000067
3363	2094	MCF7	-9.825716035
3902	4114	PC3	-0.477604633
3902	176871	HT29	-1.213403568
11683	387447	HT29	-7.749810993
3363	644241	PC3	-8.643157708
123631	354624	PC3	5.328741066
3385	644241	MCF7	3.635262269
3902	5311	A549	-11.35446295
11525740	354624	MCF7	-19.19790013
11626560	2094	MCF7	-4.048735314
25126798	5394	MCF7	-6.893081164
5394	4211	MCF7	-5.185927013
60198	3902	MCF7	-3.485097353
5311	5394	VCAP	-57.33270155
5311	11960529	HT29	-37.9622509
42611257	644241	HT29	-5.013355543
71384	644241	PC3	-5.78
25126798	5453	PC3	-5.106040843
3363	2187	PC3	0.304273834
71384	11683	PC3	-1.411148316
354624	208908	A549	-0.460270578
208908	11977753	HT29	14.4077872
5453	387447	HT29	-22.32478023
24856436	11960529	SW620	-58.0733838
42611257	3062316	MCF7	-1.929726856
4211	2478	PC3	-0.326579874
11683	2094	PC3	-5.340427213
208908	57469	MCF7	-1.747074558
25126798	2123	MCF7	-9.299149545
5311	24856436	A375	7.228376736
42611257	2094	MCF7	-0.407974116
444795	5426	HT29	1.45419216
216326	3062316	MCF7	-3.620935123
9826528	3062316	HT29	10.17813797
644241	5311	A549	-13.98054153
24856436	11960529	HCT116	-61.95986899
11960529	11977753	HT29	-23.1064815
3062316	11977753	A375	14.35445463
5453	2141	PC3	-12.78215651
123631	71384	HT29	5.471435063
123631	11683	PC3	-10.3566771
11683	9703	A549	-1.236863627
11525740	387447	HT29	-3.445095469
5426	57469	HT29	0.589740086
3385	11626560	MCF7	1.644414726
644241	3690	PC3	0.475059763
6450551	25126798	A549	2.076890215
644241	354624	A549	-11.98932008
2478	57469	A549	-4.873261836
123631	208908	MCF7	1.698864988
71384	644241	HT29	2.700033556
60198	42611257	HT29	-5.998416686
11626560	5426	A549	-10.38031362
71384	57469	HT29	3.520283611
2708	2141	MCF7	-7.543578886
71384	3385	A549	4.621886391
60198	4211	MCF7	1.335454125
2187	5426	HT29	2.078410202
24856436	11977753	LOVO	3.194978668
6450551	123631	PC3	-3.04057995
60198	57469	A549	2.678007203
11626560	387447	PC3	-0.509215949
216326	4211	PC3	2.096728557
2708	3062316	A549	-20.0751567
2187	57469	HT29	-7.54865272
4091	24856436	VCAP	-58.53591409
9826528	11977753	VCAP	0.930029093
3062316	11960529	VCAP	-1.338926785
2708	2094	MCF7	-6.968524888
3363	644241	A549	-41.29085603
11626560	3363	MCF7	3.857353884
42611257	3363	HT29	-7.4195568
2662	176871	PC3	-0.456027088
11626560	2478	A549	-19.56377659
42611257	208908	PC3	5.847258245
6450551	4211	A549	-3.095807626
11683	2187	HT29	-8.235683045
11525740	2123	A549	-3.832667735
6450551	216326	A549	-1.45390242
11626560	3363	A549	-16.52230483
2662	2094	MCF7	-2.237276321
3385	42611257	A549	-1.930208734
11525740	2662	A549	8.608853631
2123	354624	PC3	-12.94398853
5311	60699	HT29	-31.14042051
3062316	4114	MCF7	-2.093916002
2187	354624	A549	-5.026141503
444795	3062316	A549	-12.35095116
6450551	3902	MCF7	2.893282153
3363	387447	PC3	-8.7939751
354624	3690	PC3	-4.289968237
354624	9703	MCF7	-1.182952984
42611257	2662	A549	1.808002182
42611257	644241	HS578T	-0.797650494
2187	9703	A549	-3.210278502
2094	9703	PC3	-0.994258395
42611257	387447	PC3	-2.138007345
6450551	4114	A549	-2.898227808
216326	57469	PC3	1.185571067
60198	444795	A549	-0.390097665
11626560	11683	HT29	-6.540168159
644241	57469	A549	-1.000887753
5743	9826528	VCAP	1.071396158
208908	2187	A549	-0.326529228
71384	644241	A549	1.410032839
25126798	3062316	PC3	-16.56546744
644241	60699	MCF7	-7.480403692
208908	4114	A549	-2.124143555
11626560	60699	PC3	-5.297097938
11626560	11525740	A549	-10.98856749
71384	2708	PC3	4.879516803
3902	387447	MCF7	-13.3298885
71384	4211	MCF7	-1.992030754
387447	11960529	VCAP	-47.86822161
42611257	3062316	HT29	9.883513035
42611257	457193	A549	23.05
123631	444795	HT29	10.9771547
216326	57469	HCT116	2.421698847
2662	176871	A549	-0.732642731
2187	3690	PC3	-3.644802556
216326	3062316	HT29	-18.98102611
123631	57469	PC3	-0.284523072
71384	176871	A549	4.942815645
5311	208908	VCAP	3.271446373
387447	11960529	RKO	-2.155273121
11525740	5311	HT29	-9.339836217
42611257	9703	MCF7	-4.744457951
25126798	60699	MCF7	-6.740032514
3902	444795	MCF7	-5.145286835
2478	2094	MCF7	1.411634068
6450551	3690	MCF7	-2.075979513
36462	5394	HT29	-47.75847402
3363	5394	MCF7	-24.9217647
11626560	25126798	A549	-1.320452193
354624	60699	HT29	-10.39907311
3902	387447	A549	2.764347718
60198	2141	PC3	-36.28416435
11525740	387447	A549	-2.630918353
23725625	24964624	BT20	23.57585
2187	4114	HT29	-0.01981407
5394	5311	HCT116	-52.83680189
216326	5453	A549	-0.245888913
3363	176871	HT29	-34.63144456
2662	208908	PC3	-3.713040823
216326	11683	HT29	-1.721638464
3363	2478	HT29	-14.85814016
71384	2141	MCF7	-5.952324628
2478	9703	HT29	-0.846014755
5426	387447	A549	-57.15581443
11626560	2662	MCF7	2.205562366
5394	24964624	HT29	-32.03840701
5426	9703	PC3	-2.053304908
6450551	57469	PC3	-2.433905751
2123	2478	HT29	-6.098967611
9826528	11977753	HT29	6.983166783
3385	5311	MCF7	12.85594551
71384	387447	A549	6.151425827
5426	3690	PC3	2.89691168
3363	644241	HT29	4.052149452
354624	57469	HT29	-2.161244892
5394	24964624	RKO	-11.63612524
123631	60198	PC3	6.853041624
644241	2094	PC3	-1.616527973
25126798	2187	PC3	0.194815687
11683	60699	PC3	-20.90060497
17755052	23725625	MDAMB231	21.37534
6450551	4114	HT29	-4.075813761
71384	644241	MCF7	-5.77990281
2123	4114	HT29	-2.817639408
6450551	42611257	PC3	2.932364457
2141	60699	A549	-33.86230438
11960529	11977753	LOVO	-14.24100002
3902	208908	PC3	-6.688834951
354624	5426	MCF7	-0.920269395
2708	354624	MCF7	-3.936114349
354624	4114	HT29	-3.978092848
2123	4211	HT29	8.798307151
216326	644241	MCF7	-0.092304978
354624	176871	MCF7	-2.104354699
11525740	457193	PC3	12.14
5311	24964624	LOVO	2.926380356
